HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0000952	OG0000716	-	WP_002555494.1	DAKCFMEO_03502
N0.HOG0000953	OG0000717	-	WP_002555500.1	DAKCFMEO_03496
N0.HOG0000954	OG0000718	-	WP_002555565.1	DAKCFMEO_02914
N0.HOG0000955	OG0000719	-	WP_002555698.1	DAKCFMEO_02157
N0.HOG0000956	OG0000720	-	WP_002555721.1	DAKCFMEO_05119
N0.HOG0000957	OG0000721	-	WP_002555745.1	DAKCFMEO_05170
N0.HOG0000958	OG0000722	-	WP_002555770.1	DAKCFMEO_05186
N0.HOG0000959	OG0000723	-	WP_002555777.1	DAKCFMEO_05219
N0.HOG0000960	OG0000724	-	WP_002555808.1	DAKCFMEO_01909
N0.HOG0000961	OG0000725	-	WP_002555947.1	DAKCFMEO_05180
N0.HOG0000962	OG0000726	-	WP_002555987.1	DAKCFMEO_01252
N0.HOG0000963	OG0000727	-	WP_002556003.1, WP_003344293.1	
N0.HOG0000964	OG0000728	-	WP_002556050.1, WP_011103314.1	
N0.HOG0000965	OG0000729	-	WP_002556144.1	DAKCFMEO_01747
N0.HOG0000966	OG0000730	-	WP_003176422.1	DAKCFMEO_03513
N0.HOG0000967	OG0000731	-	WP_003304675.1	DAKCFMEO_00371
N0.HOG0000968	OG0000732	-	WP_003313553.1	DAKCFMEO_00399
N0.HOG0000969	OG0000733	-	WP_003313577.1	DAKCFMEO_00425
N0.HOG0000970	OG0000734	-	WP_003313894.1	DAKCFMEO_03604
N0.HOG0000971	OG0000735	-	WP_003314637.1	DAKCFMEO_02299
N0.HOG0000972	OG0000736	-	WP_003315067.1	DAKCFMEO_02668
N0.HOG0000973	OG0000737	-	WP_003315128.1	DAKCFMEO_02617
N0.HOG0000974	OG0000738	-	WP_003315315.1	DAKCFMEO_04092
N0.HOG0000975	OG0000739	-	WP_003315600.1	DAKCFMEO_00777
N0.HOG0000976	OG0000740	-	WP_003315798.1	DAKCFMEO_04680
N0.HOG0000977	OG0000741	-	WP_003317099.1	DAKCFMEO_03524
N0.HOG0000978	OG0000742	-	WP_003317112.1	DAKCFMEO_03497
N0.HOG0000979	OG0000743	-	WP_003317113.1	DAKCFMEO_03495
N0.HOG0000980	OG0000744	-	WP_003317208.1	DAKCFMEO_04878
N0.HOG0000981	OG0000745	-	WP_003317532.1	DAKCFMEO_03082
N0.HOG0000982	OG0000746	-	WP_003318204.1	DAKCFMEO_03404
N0.HOG0000983	OG0000747	-	WP_003340324.1	DAKCFMEO_01574
N0.HOG0000984	OG0000748	-	WP_003344297.1, WP_011103424.1	
N0.HOG0000985	OG0000749	-	WP_003344377.1, WP_011107033.1	
N0.HOG0000986	OG0000750	-	WP_003344384.1, WP_011107035.1	
N0.HOG0000987	OG0000751	-	WP_003344391.1, WP_011107037.1	
N0.HOG0000988	OG0000752	-	WP_003344603.1	DAKCFMEO_00537
N0.HOG0000989	OG0000753	-	WP_003346101.1	DAKCFMEO_00752
N0.HOG0000990	OG0000754	-	WP_003363851.1	DAKCFMEO_00304
N0.HOG0000991	OG0000755	-	WP_003365425.1	DAKCFMEO_02749
N0.HOG0000992	OG0000756	-	WP_003367017.1	DAKCFMEO_00812
N0.HOG0000993	OG0000757	-	WP_003368676.1	DAKCFMEO_04778
N0.HOG0000994	OG0000758	-	WP_003373184.1	DAKCFMEO_04732
N0.HOG0000995	OG0000759	-	WP_003373273.1	DAKCFMEO_02343
N0.HOG0000996	OG0000760	-	WP_003373291.1	DAKCFMEO_02334
N0.HOG0000997	OG0000761	-	WP_003373297.1	DAKCFMEO_02331
N0.HOG0000998	OG0000762	-	WP_003373331.1	DAKCFMEO_00755
N0.HOG0000999	OG0000763	-	WP_003373338.1	DAKCFMEO_00759
N0.HOG0001000	OG0000764	-	WP_003373339.1	DAKCFMEO_00760
N0.HOG0001001	OG0000765	-	WP_003373489.1	DAKCFMEO_04035
N0.HOG0001002	OG0000766	-	WP_003375722.1	DAKCFMEO_01482
N0.HOG0001003	OG0000767	-	WP_003375857.1	DAKCFMEO_03005
N0.HOG0001004	OG0000768	-	WP_003375863.1	DAKCFMEO_03001
N0.HOG0001005	OG0000769	-	WP_003375894.1	DAKCFMEO_02985
N0.HOG0001006	OG0000770	-	WP_003375907.1	DAKCFMEO_02979
N0.HOG0001007	OG0000771	-	WP_003375919.1	DAKCFMEO_02973
N0.HOG0001008	OG0000772	-	WP_003375928.1	DAKCFMEO_02967
N0.HOG0001009	OG0000773	-	WP_003375972.1	DAKCFMEO_03302
N0.HOG0001010	OG0000774	-	WP_003376021.1	DAKCFMEO_02729
N0.HOG0001011	OG0000775	-	WP_003376036.1	DAKCFMEO_02735
N0.HOG0001012	OG0000776	-	WP_003376052.1	DAKCFMEO_02742
N0.HOG0001013	OG0000777	-	WP_003376124.1	DAKCFMEO_04526
N0.HOG0001014	OG0000778	-	WP_003376162.1	DAKCFMEO_04485
N0.HOG0001015	OG0000779	-	WP_003376205.1	DAKCFMEO_04379
N0.HOG0001016	OG0000780	-	WP_003376227.1	DAKCFMEO_04367
N0.HOG0001017	OG0000781	-	WP_003376264.1	DAKCFMEO_04343
N0.HOG0001018	OG0000782	-	WP_003376266.1	DAKCFMEO_04342
N0.HOG0001019	OG0000783	-	WP_003376303.1	DAKCFMEO_04318
N0.HOG0001020	OG0000784	-	WP_003376376.1	DAKCFMEO_04858
N0.HOG0001021	OG0000785	-	WP_003376387.1	DAKCFMEO_04852
N0.HOG0001022	OG0000786	-	WP_003376398.1	DAKCFMEO_04845
N0.HOG0001023	OG0000787	-	WP_003376420.1	DAKCFMEO_04834
N0.HOG0001024	OG0000788	-	WP_003376558.1	DAKCFMEO_03610
N0.HOG0001025	OG0000789	-	WP_003376569.1	DAKCFMEO_03615
N0.HOG0001026	OG0000790	-	WP_003376591.1	DAKCFMEO_04813
N0.HOG0001027	OG0000791	-	WP_003376593.1	DAKCFMEO_04812
N0.HOG0001028	OG0000792	-	WP_003376603.1	DAKCFMEO_04804
N0.HOG0001029	OG0000793	-	WP_003376607.1	DAKCFMEO_04802
N0.HOG0001030	OG0000794	-	WP_003376614.1	DAKCFMEO_04799
N0.HOG0001031	OG0000795	-	WP_003376691.1	DAKCFMEO_03960
N0.HOG0001032	OG0000796	-	WP_003376717.1	DAKCFMEO_03973
N0.HOG0001033	OG0000797	-	WP_003376859.1	DAKCFMEO_00828
N0.HOG0001034	OG0000798	-	WP_003376912.1	DAKCFMEO_03824
N0.HOG0001035	OG0000799	-	WP_003376994.1	DAKCFMEO_01045
N0.HOG0001036	OG0000800	-	WP_003377005.1	DAKCFMEO_01053
N0.HOG0001037	OG0000801	-	WP_003377107.1	DAKCFMEO_04914
N0.HOG0001038	OG0000802	-	WP_003377111.1	DAKCFMEO_04924
N0.HOG0001039	OG0000803	-	WP_003377120.1	DAKCFMEO_04935
N0.HOG0001040	OG0000804	-	WP_003377131.1	DAKCFMEO_04945
N0.HOG0001041	OG0000805	-	WP_003377196.1	DAKCFMEO_05001
N0.HOG0001042	OG0000806	-	WP_003377199.1	DAKCFMEO_05003
N0.HOG0001043	OG0000807	-	WP_003377205.1	DAKCFMEO_05006
N0.HOG0001044	OG0000808	-	WP_003377212.1	DAKCFMEO_05012
N0.HOG0001045	OG0000809	-	WP_003377215.1	DAKCFMEO_05015
N0.HOG0001046	OG0000810	-	WP_003377217.1	DAKCFMEO_05017
N0.HOG0001047	OG0000811	-	WP_003377258.1	DAKCFMEO_02046
N0.HOG0001048	OG0000812	-	WP_003377314.1	DAKCFMEO_02845
N0.HOG0001049	OG0000813	-	WP_003377457.1	DAKCFMEO_02802
N0.HOG0001050	OG0000814	-	WP_003377470.1	DAKCFMEO_01713
N0.HOG0001051	OG0000815	-	WP_003377471.1	DAKCFMEO_01706
N0.HOG0001052	OG0000816	-	WP_003377479.1	DAKCFMEO_01699
N0.HOG0001053	OG0000817	-	WP_003377482.1	DAKCFMEO_01697
N0.HOG0001054	OG0000818	-	WP_003377487.1	DAKCFMEO_01692
N0.HOG0001055	OG0000819	-	WP_003377503.1	DAKCFMEO_01682
N0.HOG0001056	OG0000820	-	WP_003377505.1	DAKCFMEO_01681
N0.HOG0001057	OG0000821	-	WP_003377508.1	DAKCFMEO_01678
N0.HOG0001058	OG0000822	-	WP_003377527.1	DAKCFMEO_00461
N0.HOG0001059	OG0000823	-	WP_003377531.1	DAKCFMEO_00459
N0.HOG0001060	OG0000824	-	WP_003377535.1	DAKCFMEO_00455
N0.HOG0001061	OG0000825	-	WP_003377548.1	DAKCFMEO_00447
N0.HOG0001062	OG0000826	-	WP_003377550.1	DAKCFMEO_00446
N0.HOG0001063	OG0000827	-	WP_003377554.1	DAKCFMEO_00444
N0.HOG0001064	OG0000828	-	WP_003377556.1	DAKCFMEO_00443
N0.HOG0001065	OG0000829	-	WP_003377572.1	DAKCFMEO_00435
N0.HOG0001066	OG0000830	-	WP_003377577.1	DAKCFMEO_00432
N0.HOG0001067	OG0000831	-	WP_003377590.1	DAKCFMEO_00427
N0.HOG0001068	OG0000832	-	WP_003377592.1	DAKCFMEO_00426
N0.HOG0001069	OG0000833	-	WP_003377598.1	DAKCFMEO_00421
N0.HOG0001070	OG0000834	-	WP_003377605.1	DAKCFMEO_00417
N0.HOG0001071	OG0000835	-	WP_003377610.1	DAKCFMEO_00411
N0.HOG0001072	OG0000836	-	WP_003377649.1	DAKCFMEO_00392
N0.HOG0001073	OG0000837	-	WP_003377651.1	DAKCFMEO_00390
N0.HOG0001074	OG0000838	-	WP_003377653.1	DAKCFMEO_00389
N0.HOG0001075	OG0000839	-	WP_003377687.1	DAKCFMEO_03264
N0.HOG0001076	OG0000840	-	WP_003377703.1	DAKCFMEO_03251
N0.HOG0001077	OG0000841	-	WP_003377717.1	DAKCFMEO_03245
N0.HOG0001078	OG0000842	-	WP_003377783.1	DAKCFMEO_03205
N0.HOG0001079	OG0000843	-	WP_003377785.1	DAKCFMEO_03204
N0.HOG0001080	OG0000844	-	WP_003377787.1	DAKCFMEO_03867
N0.HOG0001081	OG0000845	-	WP_003377825.1	DAKCFMEO_03183
N0.HOG0001082	OG0000846	-	WP_003377829.1	DAKCFMEO_03181
N0.HOG0001083	OG0000847	-	WP_003377831.1	DAKCFMEO_03180
N0.HOG0001084	OG0000848	-	WP_003377835.1	DAKCFMEO_03178
N0.HOG0001085	OG0000849	-	WP_003377838.1	DAKCFMEO_03176
N0.HOG0001086	OG0000850	-	WP_003377871.1	DAKCFMEO_01266
N0.HOG0001087	OG0000851	-	WP_003377879.1	DAKCFMEO_01261
N0.HOG0001088	OG0000852	-	WP_003377883.1	DAKCFMEO_01257
N0.HOG0001089	OG0000853	-	WP_003377884.1	DAKCFMEO_01256
N0.HOG0001090	OG0000854	-	WP_003377888.1	DAKCFMEO_01253
N0.HOG0001091	OG0000855	-	WP_003377895.1	DAKCFMEO_01249
N0.HOG0001092	OG0000856	-	WP_003377898.1	DAKCFMEO_01247
N0.HOG0001093	OG0000857	-	WP_003377907.1	DAKCFMEO_01997
N0.HOG0001094	OG0000858	-	WP_003377974.1	DAKCFMEO_01834
N0.HOG0001095	OG0000859	-	WP_003377979.1	DAKCFMEO_01838
N0.HOG0001096	OG0000860	-	WP_003378039.1	DAKCFMEO_01874
N0.HOG0001097	OG0000861	-	WP_003378068.1	DAKCFMEO_04673
N0.HOG0001098	OG0000862	-	WP_003378113.1	DAKCFMEO_04645
N0.HOG0001099	OG0000863	-	WP_003378210.1	DAKCFMEO_04562
N0.HOG0001100	OG0000864	-	WP_003378219.1	DAKCFMEO_04556
N0.HOG0001101	OG0000865	-	WP_003378325.1	DAKCFMEO_01200
N0.HOG0001102	OG0000866	-	WP_003378342.1	DAKCFMEO_01552
N0.HOG0001103	OG0000867	-	WP_003378385.1	DAKCFMEO_01576
N0.HOG0001104	OG0000868	-	WP_003378389.1	DAKCFMEO_01579
N0.HOG0001105	OG0000869	-	WP_003378397.1	DAKCFMEO_01585
N0.HOG0001106	OG0000870	-	WP_003378472.1	DAKCFMEO_00217
N0.HOG0001107	OG0000871	-	WP_003378493.1	DAKCFMEO_00226
N0.HOG0001108	OG0000872	-	WP_003378499.1	DAKCFMEO_00229
N0.HOG0001109	OG0000873	-	WP_003378513.1	DAKCFMEO_00238
N0.HOG0001110	OG0000874	-	WP_003378608.1	DAKCFMEO_02628
N0.HOG0001111	OG0000875	-	WP_003378609.1	DAKCFMEO_02627
N0.HOG0001112	OG0000876	-	WP_003378612.1	DAKCFMEO_02624
N0.HOG0001113	OG0000877	-	WP_003378621.1	DAKCFMEO_02616
N0.HOG0001114	OG0000878	-	WP_003378637.1	DAKCFMEO_02606
N0.HOG0001115	OG0000879	-	WP_003378639.1	DAKCFMEO_02605
N0.HOG0001116	OG0000880	-	WP_003378641.1	DAKCFMEO_02604
N0.HOG0001117	OG0000881	-	WP_003378666.1	DAKCFMEO_02589
N0.HOG0001118	OG0000882	-	WP_003378668.1	DAKCFMEO_02587
N0.HOG0001119	OG0000883	-	WP_003378725.1	DAKCFMEO_02552
N0.HOG0001120	OG0000884	-	WP_003378730.1	DAKCFMEO_02548
N0.HOG0001121	OG0000885	-	WP_003378731.1	DAKCFMEO_02547
N0.HOG0001122	OG0000886	-	WP_003378749.1	DAKCFMEO_02538
N0.HOG0001123	OG0000887	-	WP_003378750.1	DAKCFMEO_02537
N0.HOG0001124	OG0000888	-	WP_003378759.1	DAKCFMEO_02129
N0.HOG0001125	OG0000889	-	WP_003378760.1	DAKCFMEO_02128
N0.HOG0001126	OG0000890	-	WP_003378783.1	DAKCFMEO_02116
N0.HOG0001127	OG0000891	-	WP_003378849.1	DAKCFMEO_05106
N0.HOG0001128	OG0000892	-	WP_003378855.1	DAKCFMEO_05057
N0.HOG0001129	OG0000893	-	WP_003378857.1	DAKCFMEO_05059
N0.HOG0001130	OG0000894	-	WP_003378861.1	DAKCFMEO_05063
N0.HOG0001131	OG0000895	-	WP_003378882.1	DAKCFMEO_05074
N0.HOG0001132	OG0000896	-	WP_003378893.1	DAKCFMEO_05080
N0.HOG0001133	OG0000897	-	WP_003378929.1	DAKCFMEO_02300
N0.HOG0001134	OG0000898	-	WP_003378990.1	DAKCFMEO_03129
N0.HOG0001135	OG0000899	-	WP_003379024.1	DAKCFMEO_03032
N0.HOG0001136	OG0000900	-	WP_003379028.1	DAKCFMEO_03028
N0.HOG0001137	OG0000901	-	WP_003379038.1	DAKCFMEO_04165
N0.HOG0001138	OG0000902	-	WP_003379089.1	DAKCFMEO_03591
N0.HOG0001139	OG0000903	-	WP_003379121.1	DAKCFMEO_03577
N0.HOG0001140	OG0000904	-	WP_003379129.1	DAKCFMEO_03573
N0.HOG0001141	OG0000905	-	WP_003379141.1	DAKCFMEO_03566
N0.HOG0001142	OG0000906	-	WP_003379143.1	DAKCFMEO_03565
N0.HOG0001143	OG0000907	-	WP_003379241.1	DAKCFMEO_03407
N0.HOG0001144	OG0000908	-	WP_003379278.1	DAKCFMEO_03380
N0.HOG0001145	OG0000909	-	WP_003379302.1	DAKCFMEO_02787
N0.HOG0001146	OG0000910	-	WP_003379415.1	DAKCFMEO_02223
N0.HOG0001147	OG0000911	-	WP_003379418.1	DAKCFMEO_02226
N0.HOG0001148	OG0000912	-	WP_003379468.1	DAKCFMEO_01296
N0.HOG0001149	OG0000913	-	WP_003379548.1	DAKCFMEO_03925
N0.HOG0001150	OG0000914	-	WP_003379718.1	DAKCFMEO_00548
N0.HOG0001151	OG0000915	-	WP_003379721.1	DAKCFMEO_00551
N0.HOG0001152	OG0000916	-	WP_003379759.1	DAKCFMEO_00658
N0.HOG0001153	OG0000917	-	WP_003379830.1	DAKCFMEO_00705
N0.HOG0001154	OG0000918	-	WP_003379873.1	DAKCFMEO_05028
N0.HOG0001155	OG0000919	-	WP_003379876.1	DAKCFMEO_05024
N0.HOG0001156	OG0000920	-	WP_003379926.1	DAKCFMEO_02962
N0.HOG0001157	OG0000921	-	WP_003379931.1	DAKCFMEO_04969
N0.HOG0001158	OG0000922	-	WP_003379947.1	DAKCFMEO_04964
N0.HOG0001159	OG0000923	-	WP_003380033.1	DAKCFMEO_02212
N0.HOG0001160	OG0000924	-	WP_003380046.1	DAKCFMEO_01952
N0.HOG0001161	OG0000925	-	WP_003380053.1	DAKCFMEO_01955
N0.HOG0001162	OG0000926	-	WP_003380079.1	DAKCFMEO_01971
N0.HOG0001163	OG0000927	-	WP_003380111.1	DAKCFMEO_01539
N0.HOG0001164	OG0000928	-	WP_003380113.1	DAKCFMEO_01538
N0.HOG0001165	OG0000929	-	WP_003380115.1	DAKCFMEO_01537
N0.HOG0001166	OG0000930	-	WP_003380120.1	DAKCFMEO_01533
N0.HOG0001167	OG0000931	-	WP_003380132.1	DAKCFMEO_01525
N0.HOG0001168	OG0000932	-	WP_003380135.1	DAKCFMEO_01522
N0.HOG0001169	OG0000933	-	WP_003380148.1	DAKCFMEO_01517
N0.HOG0001170	OG0000934	-	WP_003380192.1	DAKCFMEO_02189
N0.HOG0001171	OG0000935	-	WP_003380207.1	DAKCFMEO_05113
N0.HOG0001172	OG0000936	-	WP_003380209.1	DAKCFMEO_01982
N0.HOG0001173	OG0000937	-	WP_003380226.1	DAKCFMEO_01992
N0.HOG0001174	OG0000938	-	WP_003380232.1	DAKCFMEO_01816
N0.HOG0001175	OG0000939	-	WP_003380235.1	DAKCFMEO_01813
N0.HOG0001176	OG0000940	-	WP_003380252.1	DAKCFMEO_05158
N0.HOG0001177	OG0000941	-	WP_003380253.1	DAKCFMEO_05159
N0.HOG0001178	OG0000942	-	WP_003380289.1	DAKCFMEO_03482
N0.HOG0001179	OG0000943	-	WP_003380294.1	DAKCFMEO_03479
N0.HOG0001180	OG0000944	-	WP_003380298.1	DAKCFMEO_03477
N0.HOG0001181	OG0000945	-	WP_003380309.1	DAKCFMEO_03471
N0.HOG0001182	OG0000946	-	WP_003380333.1	DAKCFMEO_01757
N0.HOG0001183	OG0000947	-	WP_003380356.1	DAKCFMEO_01749
N0.HOG0001184	OG0000948	-	WP_003380430.1	DAKCFMEO_04096
N0.HOG0001185	OG0000949	-	WP_003380432.1	DAKCFMEO_04095
N0.HOG0001186	OG0000950	-	WP_003380455.1	DAKCFMEO_04080
N0.HOG0001187	OG0000951	-	WP_003380539.1	DAKCFMEO_01018
N0.HOG0001188	OG0000952	-	WP_003380592.1	DAKCFMEO_03333
N0.HOG0001189	OG0000953	-	WP_003380594.1	DAKCFMEO_03335
N0.HOG0001190	OG0000954	-	WP_003380601.1	DAKCFMEO_03338
N0.HOG0001191	OG0000955	-	WP_003380603.1	DAKCFMEO_03340
N0.HOG0001192	OG0000956	-	WP_003380604.1	DAKCFMEO_03341
N0.HOG0001193	OG0000957	-	WP_003380613.1	DAKCFMEO_03350
N0.HOG0001194	OG0000958	-	WP_003380618.1	DAKCFMEO_03354
N0.HOG0001195	OG0000959	-	WP_003380623.1	DAKCFMEO_03359
N0.HOG0001196	OG0000960	-	WP_003380633.1	DAKCFMEO_03365
N0.HOG0001197	OG0000961	-	WP_003380690.1	DAKCFMEO_04908
N0.HOG0001198	OG0000962	-	WP_003380698.1	DAKCFMEO_04899
N0.HOG0001199	OG0000963	-	WP_003380701.1	DAKCFMEO_04896
N0.HOG0001200	OG0000964	-	WP_003380723.1	DAKCFMEO_04877
N0.HOG0001201	OG0000965	-	WP_003380836.1	DAKCFMEO_04713
N0.HOG0001202	OG0000966	-	WP_003380850.1	DAKCFMEO_04704
N0.HOG0001203	OG0000967	-	WP_003380890.1	DAKCFMEO_04677
N0.HOG0001204	OG0000968	-	WP_003380907.1	DAKCFMEO_00315
N0.HOG0001205	OG0000969	-	WP_003380941.1	DAKCFMEO_00348
N0.HOG0001206	OG0000970	-	WP_003380977.1	DAKCFMEO_00380
N0.HOG0001207	OG0000971	-	WP_003381003.1	DAKCFMEO_04223
N0.HOG0001208	OG0000972	-	WP_003381064.1	DAKCFMEO_04269
N0.HOG0001209	OG0000973	-	WP_003381088.1	DAKCFMEO_04255
N0.HOG0001210	OG0000974	-	WP_003381096.1	DAKCFMEO_04249
N0.HOG0001211	OG0000975	-	WP_003381112.1	DAKCFMEO_04236
N0.HOG0001212	OG0000976	-	WP_003381155.1	DAKCFMEO_01433
N0.HOG0001213	OG0000977	-	WP_003381177.1	DAKCFMEO_01444
N0.HOG0001214	OG0000978	-	WP_003381207.1	DAKCFMEO_00506
N0.HOG0001215	OG0000979	-	WP_003381213.1	DAKCFMEO_00508
N0.HOG0001216	OG0000980	-	WP_003381223.1	DAKCFMEO_02886
N0.HOG0001217	OG0000981	-	WP_003381266.1	DAKCFMEO_00519
N0.HOG0001218	OG0000982	-	WP_003381292.1	DAKCFMEO_00532
N0.HOG0001219	OG0000983	-	WP_003381304.1	DAKCFMEO_00539
N0.HOG0001220	OG0000984	-	WP_003381306.1	DAKCFMEO_00542
N0.HOG0001221	OG0000985	-	WP_003381308.1	DAKCFMEO_00543
N0.HOG0001222	OG0000986	-	WP_003381390.1	DAKCFMEO_05094
N0.HOG0001223	OG0000987	-	WP_003381486.1	DAKCFMEO_00102
N0.HOG0001224	OG0000988	-	WP_003381490.1	DAKCFMEO_00105
N0.HOG0001225	OG0000989	-	WP_003381499.1	DAKCFMEO_00113
N0.HOG0001226	OG0000990	-	WP_003381502.1	DAKCFMEO_00115
N0.HOG0001227	OG0000991	-	WP_003381525.1	DAKCFMEO_00135
N0.HOG0001228	OG0000992	-	WP_003381534.1	DAKCFMEO_00142
N0.HOG0001229	OG0000993	-	WP_003381535.1	DAKCFMEO_00143
N0.HOG0001230	OG0000994	-	WP_003381559.1	DAKCFMEO_02243
N0.HOG0001231	OG0000995	-	WP_003381567.1	DAKCFMEO_02252
N0.HOG0001232	OG0000996	-	WP_003381582.1	DAKCFMEO_02265
N0.HOG0001233	OG0000997	-	WP_003381583.1	DAKCFMEO_02266
N0.HOG0001234	OG0000998	-	WP_003381585.1	DAKCFMEO_02268
N0.HOG0001235	OG0000999	-	WP_003381589.1	DAKCFMEO_02271
N0.HOG0001236	OG0001000	-	WP_003381628.1	DAKCFMEO_00298
N0.HOG0001237	OG0001001	-	WP_003381648.1	DAKCFMEO_00285
N0.HOG0001238	OG0001002	-	WP_003381663.1	DAKCFMEO_00274
N0.HOG0001239	OG0001003	-	WP_003381744.1	DAKCFMEO_00568
N0.HOG0001240	OG0001004	-	WP_003381839.1	DAKCFMEO_01369
N0.HOG0001241	OG0001005	-	WP_003382001.1	DAKCFMEO_00649
N0.HOG0001242	OG0001006	-	WP_003382004.1	DAKCFMEO_00646
N0.HOG0001243	OG0001007	-	WP_003382006.1	DAKCFMEO_00644
N0.HOG0001244	OG0001008	-	WP_003382072.1	DAKCFMEO_05167
N0.HOG0001245	OG0001009	-	WP_003382074.1	DAKCFMEO_05169
N0.HOG0001246	OG0001010	-	WP_003382085.1	DAKCFMEO_05179
N0.HOG0001247	OG0001011	-	WP_003382104.1	DAKCFMEO_02018
N0.HOG0001248	OG0001012	-	WP_003382140.1	DAKCFMEO_02521
N0.HOG0001249	OG0001013	-	WP_003382141.1	DAKCFMEO_02523
N0.HOG0001250	OG0001014	-	WP_003382144.1	DAKCFMEO_02526
N0.HOG0001251	OG0001015	-	WP_003382274.1	DAKCFMEO_01665
N0.HOG0001252	OG0001016	-	WP_003382315.1	DAKCFMEO_02013
N0.HOG0001253	OG0001017	-	WP_003382340.1	DAKCFMEO_02918
N0.HOG0001254	OG0001018	-	WP_003382364.1	DAKCFMEO_02152
N0.HOG0001255	OG0001019	-	WP_003382372.1	DAKCFMEO_02162
N0.HOG0001256	OG0001020	-	WP_003382373.1	DAKCFMEO_02164
N0.HOG0001257	OG0001021	-	WP_003382379.1	DAKCFMEO_02168
N0.HOG0001258	OG0001022	-	WP_003382396.1	DAKCFMEO_00818
N0.HOG0001259	OG0001023	-	WP_003382398.1	DAKCFMEO_00815
N0.HOG0001260	OG0001024	-	WP_003382460.1	DAKCFMEO_00739
N0.HOG0001261	OG0001025	-	WP_003382465.1	DAKCFMEO_00736
N0.HOG0001262	OG0001026	-	WP_003382467.1	DAKCFMEO_00735
N0.HOG0001263	OG0001027	-	WP_003382474.1	DAKCFMEO_00731
N0.HOG0001264	OG0001028	-	WP_003382487.1	DAKCFMEO_00719
N0.HOG0001265	OG0001029	-	WP_003382493.1	DAKCFMEO_00713
N0.HOG0001266	OG0001030	-	WP_003382526.1	DAKCFMEO_00051
N0.HOG0001267	OG0001031	-	WP_003382533.1	DAKCFMEO_00044
N0.HOG0001268	OG0001032	-	WP_003382657.1	DAKCFMEO_03791
N0.HOG0001269	OG0001033	-	WP_003382687.1	DAKCFMEO_02502
N0.HOG0001270	OG0001034	-	WP_003382700.1	DAKCFMEO_02490
N0.HOG0001271	OG0001035	-	WP_003382703.1	DAKCFMEO_02488
N0.HOG0001272	OG0001036	-	WP_003382829.1	DAKCFMEO_01191
N0.HOG0001273	OG0001037	-	WP_003382842.1	DAKCFMEO_01182
N0.HOG0001274	OG0001038	-	WP_003382929.1	DAKCFMEO_04298
N0.HOG0001275	OG0001039	-	WP_003382943.1	DAKCFMEO_04290
N0.HOG0001276	OG0001040	-	WP_003382947.1	DAKCFMEO_04287
N0.HOG0001277	OG0001041	-	WP_003382959.1	DAKCFMEO_02665
N0.HOG0001278	OG0001042	-	WP_003382960.1	DAKCFMEO_02666
N0.HOG0001279	OG0001043	-	WP_003382970.1	DAKCFMEO_01723
N0.HOG0001280	OG0001044	-	WP_003382984.1	DAKCFMEO_02679
N0.HOG0001281	OG0001045	-	WP_003383046.1	DAKCFMEO_04540
N0.HOG0001282	OG0001046	-	WP_003383085.1	DAKCFMEO_02658
N0.HOG0001283	OG0001047	-	WP_003383123.1	DAKCFMEO_01605
N0.HOG0001284	OG0001048	-	WP_003383126.1	DAKCFMEO_01602
N0.HOG0001285	OG0001049	-	WP_003383132.1	DAKCFMEO_01598
N0.HOG0001286	OG0001050	-	WP_003383136.1	DAKCFMEO_01596
N0.HOG0001287	OG0001051	-	WP_003383141.1	DAKCFMEO_01592
N0.HOG0001288	OG0001052	-	WP_003383143.1	DAKCFMEO_01590
N0.HOG0001289	OG0001053	-	WP_003383161.1	DAKCFMEO_05111
N0.HOG0001290	OG0001054	-	WP_003383172.1	DAKCFMEO_03707
N0.HOG0001291	OG0001055	-	WP_003383227.1	DAKCFMEO_00497
N0.HOG0001292	OG0001056	-	WP_003383242.1	DAKCFMEO_00486
N0.HOG0001293	OG0001057	-	WP_003383265.1	DAKCFMEO_05230
N0.HOG0001294	OG0001058	-	WP_003383332.1	DAKCFMEO_04144
N0.HOG0001295	OG0001059	-	WP_003383369.1	DAKCFMEO_02905
N0.HOG0001296	OG0001060	-	WP_003383427.1	DAKCFMEO_01321
N0.HOG0001297	OG0001061	-	WP_003383453.1	DAKCFMEO_01328
N0.HOG0001298	OG0001062	-	WP_003395104.1	DAKCFMEO_04759
N0.HOG0001299	OG0001063	-	WP_003395253.1	DAKCFMEO_00317
N0.HOG0001300	OG0001064	-	WP_003400010.1	DAKCFMEO_04779
N0.HOG0001301	OG0001065	-	WP_003405083.1	DAKCFMEO_01515
N0.HOG0001302	OG0001066	-	WP_003406089.1	DAKCFMEO_00686
N0.HOG0001303	OG0001067	-	WP_003410180.1	DAKCFMEO_01122
N0.HOG0001304	OG0001068	-	WP_003411662.1	DAKCFMEO_01536
N0.HOG0001305	OG0001069	-	WP_003412391.1	DAKCFMEO_02546
N0.HOG0001306	OG0001070	-	WP_003422343.1	DAKCFMEO_04887
N0.HOG0001307	OG0001071	-	WP_003425462.1	DAKCFMEO_00048
N0.HOG0001308	OG0001072	-	WP_003426596.1	DAKCFMEO_03537
N0.HOG0001309	OG0001073	-	WP_004396234.1	DAKCFMEO_03761
